iter	Passed	Remaining
0	13	2642
1	25	2556
2	41	2706
3	54	2665
4	65	2572
5	76	2488
6	88	2429
7	98	2370
8	109	2328
9	121	2312
10	133	2288
11	144	2257
12	155	2236
13	167	2219
14	178	2197
15	189	2176
16	200	2156
17	211	2141
18	223	2129
19	235	2119
20	247	2111
21	262	2119
22	281	2165
23	322	2362
24	333	2335
25	344	2307
26	356	2281
27	367	2258
28	379	2239
29	392	2221
30	403	2198
31	414	2175
32	425	2152
33	436	2131
34	448	2113
35	459	2094
36	471	2079
37	484	2065
38	499	2062
39	513	2053
40	531	2062
41	545	2053
42	557	2033
43	568	2015
44	579	1996
45	590	1978
46	601	1959
47	612	1940
48	623	1922
49	635	1905
50	645	1887
51	658	1873
52	669	1857
53	681	1841
54	692	1825
55	705	1813
56	718	1802
57	730	1789
58	742	1773
59	753	1757
60	764	1742
61	776	1729
62	788	1715
63	800	1700
64	811	1685
65	823	1671
66	834	1656
67	846	1642
68	857	1628
69	870	1615
70	882	1603
71	894	1590
72	917	1596
73	948	1615
74	962	1604
75	975	1591
76	987	1577
77	998	1562
78	1010	1547
79	1022	1533
80	1034	1520
81	1045	1505
82	1057	1490
83	1069	1476
84	1080	1462
85	1093	1448
86	1104	1435
87	1118	1423
88	1134	1414
89	1147	1402
90	1167	1398
91	1180	1385
92	1192	1371
93	1203	1357
94	1214	1342
95	1226	1328
96	1238	1315
97	1250	1301
98	1260	1286
99	1272	1272
100	1284	1259
101	1297	1246
102	1309	1233
103	1322	1220
104	1333	1206
105	1345	1193
106	1358	1180
107	1385	1180
108	1405	1173
109	1419	1161
110	1432	1148
111	1444	1135
112	1456	1121
113	1468	1107
114	1480	1094
115	1491	1080
116	1503	1066
117	1516	1053
118	1528	1040
119	1541	1027
120	1556	1016
121	1570	1003
122	1582	990
123	1594	977
124	1605	963
125	1617	949
126	1628	935
127	1639	922
128	1650	908
129	1661	894
130	1672	880
131	1683	867
132	1696	854
133	1708	841
134	1721	829
135	1735	816
136	1751	805
137	1765	793
138	1778	780
139	1804	773
140	1825	764
141	1839	751
142	1852	738
143	1863	724
144	1874	711
145	1886	697
146	1897	683
147	1908	670
148	1920	657
149	1933	644
150	1945	631
151	1957	618
152	1969	605
153	1982	592
154	1993	578
155	2004	565
156	2015	551
157	2027	539
158	2039	525
159	2051	512
160	2062	499
161	2074	486
162	2085	473
163	2096	460
164	2108	447
165	2119	434
166	2132	421
167	2161	411
168	2182	400
169	2199	388
170	2211	375
171	2222	361
172	2234	348
173	2245	335
174	2257	322
175	2268	309
176	2279	296
177	2290	283
178	2302	270
179	2313	257
180	2324	244
181	2335	231
182	2347	218
183	2361	205
184	2376	192
185	2390	179
186	2411	167
187	2424	154
188	2435	141
189	2446	128
190	2458	115
191	2470	102
192	2481	90
193	2493	77
194	2504	64
195	2515	51
196	2526	38
197	2538	25
198	2550	12
199	2562	0
